ts,market_cap,minutes,minutes_per_mcap_bps
2025-06-25,237265314.34323257,,
2025-06-26,231553559.84525764,,
2025-06-27,250994575.52588758,,
2025-06-28,247360625.2771235,,
2025-06-29,278781659.56231004,,
2025-06-30,259053914.47162536,,
2025-07-01,254037401.89344457,,
2025-07-02,267400923.4446095,,
2025-07-03,263543695.79907122,,
2025-07-04,250654321.98718232,,
2025-07-05,261674506.11900282,,
2025-07-06,261977130.75334844,,
2025-07-07,254980468.7090746,,
2025-07-08,260153088.33655754,,
2025-07-09,264870709.42627358,,
2025-07-10,283243264.35582376,,
2025-07-11,277744315.52041125,,
2025-07-12,273373852.47530055,,
2025-07-13,276261962.7630768,,
2025-07-14,287136577.8493747,,
2025-07-15,290601299.0687627,,
2025-07-16,302401075.62802035,,
2025-07-17,304241236.28574663,,
2025-07-18,308387541.5242342,,
2025-07-19,305868430.2904337,,
2025-07-20,323658744.128425,,
2025-07-21,330959055.8210908,,
2025-07-22,327689447.5287615,,
2025-07-23,298700918.1000387,,
2025-07-24,296307621.5827584,,
2025-07-25,294333301.14515233,,
2025-07-26,294576986.69543976,,
2025-07-27,310006651.5336172,,
2025-07-28,287099528.5739263,,
2025-07-29,282301135.2135387,,
2025-07-30,276751813.3673313,,
2025-07-31,270194783.2682379,,
2025-08-01,251906560.02565414,,
2025-08-02,253285944.19066468,,
2025-08-03,262502730.98328522,,
2025-08-04,278590512.2538707,,
2025-08-05,262236461.75593826,,
2025-08-06,268960747.02436733,,
2025-08-07,281493559.2675604,,
2025-08-08,291080033.60901,,
2025-08-09,298582825.0035872,,
2025-08-10,297009340.0466177,,
2025-08-11,277982043.80551976,,
2025-08-12,299213643.9779587,,
2025-08-13,309665857.90546566,,
2025-08-14,281515271.451095,,
2025-08-15,280415559.4391584,,
2025-08-16,295832731.0683694,,
2025-08-17,296442632.10713583,,
2025-08-18,277802846.20583427,,
2025-08-19,268808081.4674093,,
2025-08-20,281184375.99975735,,
2025-08-21,274413674.6193546,,
2025-08-22,298208493.47231054,,
2025-08-23,294610997.1481222,,
2025-08-24,288935791.5547723,,
2025-08-25,258452413.23938152,,
2025-08-26,287573969.5465229,,
2025-08-27,329582805.7664652,,
2025-08-28,345676327.7558667,,
2025-08-29,302301492.56354135,,
2025-08-30,310577587.92259955,,
2025-08-31,303591535.30011106,,
2025-09-01,287438124.91988957,,
2025-09-02,294814270.3092811,,
2025-09-03,312263058.585128,,
2025-09-04,292822127.28420776,,
2025-09-05,303135977.60649925,,
2025-09-06,308083222.2754412,,
2025-09-07,307777309.96163934,,
2025-09-08,310738107.27273506,,
2025-09-09,314448049.09769917,,
2025-09-10,311610120.24104124,,
2025-09-11,317994732.5418487,,
2025-09-12,324557112.31046015,,
2025-09-13,326772971.44476575,,
2025-09-14,314460500.1229145,,
2025-09-15,299646427.2936631,,
2025-09-16,303508313.7265606,,
2025-09-17,314529883.2002899,,
2025-09-18,319150609.6233833,,
2025-09-19,303225508.5462151,,
2025-09-20,308113504.7291088,,
2025-09-21,302138386.9705368,,
2025-09-22,280171045.58536524,,
2025-09-23,286697210.60817474,,
